TENDER_BIZPORTAL_ID,TENDER_COUNTRY,ESTIMATED_LANGUAGE,TENDER_DATE_OF_AWARD,TENDER_TITLE,TENDER_DESCRIPTION,AI_MATCH_TERMS,SEARCH_TEXT,AI_REVIEW_LABEL,PROCUREMENT_CONTENT
21803670,US,English/Latin,2017-04-13,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8504293520!NUT,SELF-LOCKING,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8504293520!NUT,SELF-LOCKING,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
21912790,US,English/Latin,2019-03-20,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8504627901!MOUNT,TURBO-PROP,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8504627901!MOUNT,TURBO-PROP,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
19184525,US,English/Latin,2012-07-15,Other Aircraft Part and Auxiliary Equipment Manufacturing,"4521358507!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
4521358507!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
92190312,IT,Spanish/Latin,2023-03-17,Italy-Rome: Evaluation consultancy services,"n. 3 Lotti - Accordo Quadro per le attività di studi trasportistici di accessibilità agli impianti di Rete Ferroviaria Italiana alle scale territoriali e di stazione nelle aree di giurisdizione delle Direzioni Operative Infrastrutture Territoriali - Importo posto a base di gara euro 3.090.000,00 al netto IVA e di eventuali oneri di legge.In fase di valutazione preventiva dei rischi relativi all'appalto in oggetto, non sono stati individuati costi aggiuntivi per apprestamenti di sicurezza relativi all'eliminazione dei rischi da interferenza, pertanto tali costi della sicurezza sono pari a zero. All'atto dell'emissione dei singoli CA, RFI in ragione delle prestazioni da eseguire, valuterà la necessità di produrre eventuali documenti della sicurezza (DUVRI), valutando se del caso i relativi oneri per le interferenze. In tal caso detti oneri saranno a carico di RFI e valutati con l'applicazione della tariffa OS del Gruppo FSI vigente al momento delle prestazioni senza applicazione di sconto.Le prestazioni oggetto del presente appalto dovranno essere effettuate nel rispetto di quanto previsto dal Capitolalo tecnico prestazionale di cui all'allegato n. 4 allo schema di Accordo Quadro posto a base di gara.La procedura di affidamento è indetta ai sensi del D.Lgs. 50/2016 (Codice dei contratti pubblici) e del d.P.R. 207/2010 - limitatamente alle norme ancora in vigore ai sensi dell'art. 216 del D.Lgs. 50/2016 - per la parte applicabile ai c.d. Settori speciali.",core_ai_en: \bAI\b,"Italy-Rome: Evaluation consultancy services 
n. 3 Lotti - Accordo Quadro per le attività di studi trasportistici di accessibilità agli impianti di Rete Ferroviaria Italiana alle scale territoriali e di stazione nelle aree di giurisdizione delle Direzioni Operative Infrastrutture Territoriali - Importo posto a base di gara euro 3.090.000,00 al netto IVA e di eventuali oneri di legge.In fase di valutazione preventiva dei rischi relativi all'appalto in oggetto, non sono stati individuati costi aggiuntivi per apprestamenti di sicurezza relativi all'eliminazione dei rischi da interferenza, pertanto tali costi della sicurezza sono pari a zero. All'atto dell'emissione dei singoli CA, RFI in ragione delle prestazioni da eseguire, valuterà la necessità di produrre eventuali documenti della sicurezza (DUVRI), valutando se del caso i relativi oneri per le interferenze. In tal caso detti oneri saranno a carico di RFI e valutati con l'applicazione della tariffa OS del Gruppo FSI vigente al momento delle prestazioni senza applicazione di sconto.Le prestazioni oggetto del presente appalto dovranno essere effettuate nel rispetto di quanto previsto dal Capitolalo tecnico prestazionale di cui all'allegato n. 4 allo schema di Accordo Quadro posto a base di gara.La procedura di affidamento è indetta ai sensi del D.Lgs. 50/2016 (Codice dei contratti pubblici) e del d.P.R. 207/2010 - limitatamente alle norme ancora in vigore ai sensi dell'art. 216 del D.Lgs. 50/2016 - per la parte applicabile ai c.d. Settori speciali.",明显误报：非英语普通词 ai,其他/需人工查看描述
12373873,US,English/Latin,2017-03-17,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8504220650!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8504220650!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
80581065,US,English/Latin,2021-01-14,AIRCRAFT MANUFACTURING,"4552212301!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"AIRCRAFT MANUFACTURING 
4552212301!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
75413423,IT,Spanish/Latin,2020-05-01,Italy-Brescia: Cleaning services,"Procedura aperta di rilevanza comunitaria, riservata ai sensi dell'art. 112 del D.Lgs. n. 50/2016, per l'affidamento del servizio di pulizia degli immobili comunali del Comune di Albano Sant'Alessandro (BG) per la durata di 36 mesi con opzione di rinnovo per ulteriori 36 mesi",core_ai_en: \bAI\b,"Italy-Brescia: Cleaning services 
Procedura aperta di rilevanza comunitaria, riservata ai sensi dell'art. 112 del D.Lgs. n. 50/2016, per l'affidamento del servizio di pulizia degli immobili comunali del Comune di Albano Sant'Alessandro (BG) per la durata di 36 mesi con opzione di rinnovo per ulteriori 36 mesi",明显误报：非英语普通词 ai,设施维护/清洁/安保/邮政服务
53280519,US,English/Latin,2021-01-19,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8506220524!SUPPORT ASSEMBLY,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8506220524!SUPPORT ASSEMBLY,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
75420043,IT,Spanish/Latin,2020-05-26,Italy-Rome: Engineering studies,"Procedura aperta per l'affidamento, ai sensi dell'art. 60, del D.Lgs. n. 50/2016 e ss.mm.ii., del servizio di verifica della vulnerabilità sismica, rilievo strutturale e progettazione di fattibilità tecnico-economica da restituire in modalità BIM per l'immobile denominato Palazzo Chigi sito in Roma, piazza Colonna 370",core_ai_en: \bAI\b,"Italy-Rome: Engineering studies 
Procedura aperta per l'affidamento, ai sensi dell'art. 60, del D.Lgs. n. 50/2016 e ss.mm.ii., del servizio di verifica della vulnerabilità sismica, rilievo strutturale e progettazione di fattibilità tecnico-economica da restituire in modalità BIM per l'immobile denominato Palazzo Chigi sito in Roma, piazza Colonna 370",明显误报：非英语普通词 ai,工程/建筑/能源服务
75421231,IT,English/Latin,2019-05-23,Italy-Milan: Postal services,"L'appalto ha ad oggetto la stipula di un contratto ai sensi dell'art. 1, comma 4 della L.R. n. 33/2007 per la fornitura del servizio di stampa, imbustamento e recapito corrispondenza in favore di Regione Lombardia.",core_ai_en: \bAI\b,"Italy-Milan: Postal services 
L'appalto ha ad oggetto la stipula di un contratto ai sensi dell'art. 1, comma 4 della L.R. n. 33/2007 per la fornitura del servizio di stampa, imbustamento e recapito corrispondenza in favore di Regione Lombardia.",明显误报：非英语普通词 ai,设施维护/清洁/安保/邮政服务
75506389,IT,English/Latin,2020-06-22,Italy-Rome: Security services,"Gara a procedura aperta ai sensi del D.Lgs. 50/2016 e s.m.i. per il servizio di vigilanza armata attiva presso i siti ENAV dislocati sul territorio nazionale così suddiviso:- lotto 1: vigilanza siti centro ITALIA, Sardegna e gestione SOC-PA (CIG: 78256098D5),- lotto 2: vigilanza siti nord ITALIA (CIG: 7825635E48),- lotto 3: vigilanza siti sud ITALIA e Sicilia (CIG: 78256613C0).",core_ai_en: \bAI\b,"Italy-Rome: Security services 
Gara a procedura aperta ai sensi del D.Lgs. 50/2016 e s.m.i. per il servizio di vigilanza armata attiva presso i siti ENAV dislocati sul territorio nazionale così suddiviso:- lotto 1: vigilanza siti centro ITALIA, Sardegna e gestione SOC-PA (CIG: 78256098D5),- lotto 2: vigilanza siti nord ITALIA (CIG: 7825635E48),- lotto 3: vigilanza siti sud ITALIA e Sicilia (CIG: 78256613C0).",明显误报：非英语普通词 ai,设施维护/清洁/安保/邮政服务
75509822,IT,English/Latin,2020-06-12,Italy-Salsomaggiore Terme: Energy and related services,"La concessione ha per oggetto l'affidamento mediante finanza di progetto della progettazione, realizzazione dell'efficentamento energetico e gestione degli impianti termici e di illuminazione interna del Comune di Fidenza. Promotore: raggruppamento costituito da: SIRAM SpA con sede in via Maria Anna Mozzoni 12 - 20152 Milano e Badia Silvano di Badia Andrea con sede in via Papini 27 - 43036 Fidenza la cui proposta di paternariato pubblico privato è stata approvata e dichiarata di pubblico interesse con deliberazione della giunta comunale n. 176 del 11.7.2019, esecutiva, con conseguente variazione del programma triennale delle opere pubbliche 2019-2021 e all'elenco annuale 2019. Ai sensi di quanto disposto dall'art. 183, comma 15, D.Lgs. 50/2016 in materia di finanza di progetto, il promotore può esercitare il diritto di prelazione entro 15 giorni dalla comunicazione dell'aggiudicazione.",core_ai_en: \bAI\b,"Italy-Salsomaggiore Terme: Energy and related services 
La concessione ha per oggetto l'affidamento mediante finanza di progetto della progettazione, realizzazione dell'efficentamento energetico e gestione degli impianti termici e di illuminazione interna del Comune di Fidenza. Promotore: raggruppamento costituito da: SIRAM SpA con sede in via Maria Anna Mozzoni 12 - 20152 Milano e Badia Silvano di Badia Andrea con sede in via Papini 27 - 43036 Fidenza la cui proposta di paternariato pubblico privato è stata approvata e dichiarata di pubblico interesse con deliberazione della giunta comunale n. 176 del 11.7.2019, esecutiva, con conseguente variazione del programma triennale delle opere pubbliche 2019-2021 e all'elenco annuale 2019. Ai sensi di quanto disposto dall'art. 183, comma 15, D.Lgs. 50/2016 in materia di finanza di progetto, il promotore può esercitare il diritto di prelazione entro 15 giorni dalla comunicazione dell'aggiudicazione.",明显误报：非英语普通词 ai,工程/建筑/能源服务
85637775,US,English/Latin,2022-01-06,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8508786879!WINDSHIELD PANEL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8508786879!WINDSHIELD PANEL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
6405000,US,English/Latin,2013-08-28,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8500340599!ADAPTER,TIE DOWN,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8500340599!ADAPTER,TIE DOWN,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
192265950,US,English/Latin,2024-11-21,AIRCRAFT MANUFACTURING,"4566508894!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"AIRCRAFT MANUFACTURING 
4566508894!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
12120832,US,English/Latin,2019-03-29,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8502960976!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8502960976!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
92290436,IT,English/Latin,2023-04-05,Italy-Copparo: Parks maintenance services,"La presente procedura di gara ha per oggetto l'affidamento mediante accordo quadro con unico operatore economico (per ogni lotto di gara), ai sensi dell'art. 54, comma 3, primo periodo del D.Lgs. n. 50/2016 e s.m.i., del servizio di manutenzione ordinaria del verde pubblico sul bacino territoriale di Clara est.Per ogni ulteriore descrizione delle prestazioni oggetto del presente affidamento si rimanda ai capitolati speciali descrittivi e prestazionali allegati al bando di gara.",core_ai_en: \bAI\b,"Italy-Copparo: Parks maintenance services 
La presente procedura di gara ha per oggetto l'affidamento mediante accordo quadro con unico operatore economico (per ogni lotto di gara), ai sensi dell'art. 54, comma 3, primo periodo del D.Lgs. n. 50/2016 e s.m.i., del servizio di manutenzione ordinaria del verde pubblico sul bacino territoriale di Clara est.Per ogni ulteriore descrizione delle prestazioni oggetto del presente affidamento si rimanda ai capitolati speciali descrittivi e prestazionali allegati al bando di gara.",明显误报：非英语普通词 ai,设施维护/清洁/安保/邮政服务
16399066,US,English/Latin,2011-08-03,Other Aircraft Part and Auxiliary Equipment Manufacturing,"NOUN: PLATE, STRUCTURAL AI, QTY: 10 EACH, NSN: 1560-01-591-8216 FOR OH-58D.",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
NOUN: PLATE, STRUCTURAL AI, QTY: 10 EACH, NSN: 1560-01-591-8216 FOR OH-58D.",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
47201855,DE,English/Latin,2018-03-28,AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,"KIT,STARTER ASSY,AI",core_ai_en: \bAI\b,"AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING 
KIT,STARTER ASSY,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
18138215,US,English/Latin,2012-08-02,Aircraft Engine and Engine Parts Manufacturing,"8500030410!VANE SEGMENT,FAN,AI",core_ai_en: \bAI\b,"Aircraft Engine and Engine Parts Manufacturing 
8500030410!VANE SEGMENT,FAN,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
6705430,US,English/Latin,2013-09-07,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8500357514!CONTROL ASSEMBLY,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8500357514!CONTROL ASSEMBLY,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
51331955,US,English/Latin,2022-01-11,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8506050483!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8506050483!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
7769183,US,English/Latin,2014-09-10,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8501345544!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8501345544!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
12498935,US,English/Latin,2018-04-04,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8504773979!WINDSHIELD PANEL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8504773979!WINDSHIELD PANEL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
6660541,US,English/Latin,2014-09-15,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8500095612!PLATE,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8500095612!PLATE,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
80769708,US,English/Latin,2021-01-28,AIRCRAFT MANUFACTURING,"CONTROL ASSEMBLY,AI",core_ai_en: \bAI\b,"AIRCRAFT MANUFACTURING 
CONTROL ASSEMBLY,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
54125707,US,English/Latin,2019-04-08,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8506416607!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8506416607!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
15022868,US,English/Latin,2014-06-05,Other Aircraft Part and Auxiliary Equipment Manufacturing,"TRANSDUCER,SONAR,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
TRANSDUCER,SONAR,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
92403846,US,English/Latin,2023-01-13,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8509639043!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8509639043!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
51683427,US,English/Latin,2018-04-08,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8505380261!COVER,SEAT FRAME,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8505380261!COVER,SEAT FRAME,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
75634085,IT,English/Latin,2020-06-19,Italy-Parma: Custody services,"Procedura aperta per l'affidamento del servizio di recupero, custodia e acquisto dei veicoli oggetto dei provvedimenti di sequestro amministrativo, fermo o confisca ai sensi dell'articolo 214 bis del D.Lgs. n. 285/92, ambito territoriale provinciale di Parma. CIG 8112877DE1.",core_ai_en: \bAI\b,"Italy-Parma: Custody services 
Procedura aperta per l'affidamento del servizio di recupero, custodia e acquisto dei veicoli oggetto dei provvedimenti di sequestro amministrativo, fermo o confisca ai sensi dell'articolo 214 bis del D.Lgs. n. 285/92, ambito territoriale provinciale di Parma. CIG 8112877DE1.",明显误报：非英语普通词 ai,其他/需人工查看描述
85845366,IT,Spanish/Latin,2022-04-13,Italy-Genoa: Civil engineering support services,"Procedura aperta per l'affidamento - ai fini della validazione - del servizio di verifica di cui all'art. 26 del D.Lgs. n. 50/2016 del progetto definitivo ed esecutivo nonché la verifica dei relativi modelli BIM (Building Information Modeling) dell'intervento denominato: Partenariato pubblico-privato mediante locazione finanziaria di opera pubblica ex artt. 180 e 187 del D.Lgs. n. 50/2016 avente ad oggetto la progettazione definitiva ed esecutiva, realizzazione e manutenzione del nuovo DEA (cod. az. 847).",core_ai_en: \bAI\b,"Italy-Genoa: Civil engineering support services 
Procedura aperta per l'affidamento - ai fini della validazione - del servizio di verifica di cui all'art. 26 del D.Lgs. n. 50/2016 del progetto definitivo ed esecutivo nonché la verifica dei relativi modelli BIM (Building Information Modeling) dell'intervento denominato: Partenariato pubblico-privato mediante locazione finanziaria di opera pubblica ex artt. 180 e 187 del D.Lgs. n. 50/2016 avente ad oggetto la progettazione definitiva ed esecutiva, realizzazione e manutenzione del nuovo DEA (cod. az. 847).",明显误报：非英语普通词 ai,工程/建筑/能源服务
75658459,IT,Spanish/Latin,2019-07-26,Italy-Sassari: Medical consumables,"Procedura aperta (gara ponte), da espletarsi mediante l'utilizzo della piattaforma telematica SardegnaCAT, ai sensi degli articoli 58 e 60 del D.Lgs. n. 50/2016, per l'affidamento della fornitura annuale, suddivisa in trentatré (33) lotti distinti, di medicazioni per uso generale e ortopedico, destinata alle UU.OO. dell'Azienda ospedaliero universitaria di Sassari. Importo a base di gara annuale soggetto a ribasso, 572 821,65 EUR (oltre IVA nella misura di legge). N. gara 7346028. CIG vari.",core_ai_en: \bAI\b,"Italy-Sassari: Medical consumables 
Procedura aperta (gara ponte), da espletarsi mediante l'utilizzo della piattaforma telematica SardegnaCAT, ai sensi degli articoli 58 e 60 del D.Lgs. n. 50/2016, per l'affidamento della fornitura annuale, suddivisa in trentatré (33) lotti distinti, di medicazioni per uso generale e ortopedico, destinata alle UU.OO. dell'Azienda ospedaliero universitaria di Sassari. Importo a base di gara annuale soggetto a ribasso, 572 821,65 EUR (oltre IVA nella misura di legge). N. gara 7346028. CIG vari.",明显误报：非英语普通词 ai,医疗/实验室/语音识别相关
6792244,US,English/Latin,2013-09-24,Other Aircraft Part and Auxiliary Equipment Manufacturing,"8500383958!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"Other Aircraft Part and Auxiliary Equipment Manufacturing 
8500383958!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
92467840,US,English/Latin,2023-01-18,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,"8509646924!PANEL,STRUCTURAL,AI",core_ai_en: \bAI\b,"OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING 
8509646924!PANEL,STRUCTURAL,AI",明显误报：航空/机械零部件代码 AI,航空/机械零部件或维修
